conforming_loan_limit,derived_sex,action_taken,loan_amount,loan_term,property_value,income,debt_to_income_ratio
NC,Male,1,965000.0,360.0,1205000.0,359.0,20%-<30%
C,Male,1,405000.0,360.0,435000.0,136.0,37
C,Female,1,115000.0,360.0,115000.0,46.0,20%-<30%
C,Joint,1,105000.0,180.0,185000.0,77.0,20%-<30%
C,Male,1,165000.0,360.0,225000.0,67.0,<20%
C,Female,1,65000.0,360.0,75000.0,45.0,20%-<30%
C,Female,1,115000.0,360.0,125000.0,185.0,30%-<36%
C,Male,1,125000.0,360.0,135000.0,60.0,49
C,Male,1,225000.0,360.0,255000.0,143.0,49
C,Female,1,245000.0,360.0,325000.0,80.0,20%-<30%
C,Joint,1,295000.0,360.0,335000.0,49.0,49
C,Joint,1,235000.0,360.0,245000.0,100.0,36
C,Male,1,165000.0,360.0,175000.0,86.0,49
C,Joint,1,395000.0,360.0,525000.0,132.0,47
NC,Joint,1,805000.0,360.0,1075000.0,260.0,30%-<36%
C,Female,1,435000.0,360.0,665000.0,81.0,40
C,Male,1,85000.0,360.0,95000.0,36.0,30%-<36%
C,Sex Not Available,1,205000.0,360.0,215000.0,48.0,38
C,Male,1,265000.0,360.0,335000.0,89.0,49
C,Joint,1,455000.0,360.0,585000.0,138.0,40
NC,Sex Not Available,1,1945000.0,360.0,2435000.0,644.0,20%-<30%
C,Joint,1,265000.0,360.0,295000.0,99.0,39
C,Female,1,165000.0,360.0,215000.0,46.0,45
NC,Female,1,825000.0,360.0,1525000.0,371.0,42
C,Male,1,335000.0,360.0,355000.0,115.0,30%-<36%
NC,Male,1,1165000.0,360.0,1825000.0,1295.0,20%-<30%
C,Male,1,75000.0,360.0,265000.0,38.0,<20%
C,Male,1,275000.0,360.0,295000.0,72.0,20%-<30%
C,Male,1,125000.0,360.0,135000.0,52.0,20%-<30%
C,Male,1,165000.0,360.0,205000.0,67.0,20%-<30%
C,Male,1,675000.0,360.0,985000.0,158.0,50%-60%
C,Joint,1,115000.0,360.0,305000.0,101.0,<20%
C,Male,1,65000.0,360.0,85000.0,57.0,30%-<36%
C,Male,1,455000.0,360.0,515000.0,124.0,37
C,Sex Not Available,1,375000.0,360.0,465000.0,195.0,37
C,Male,1,165000.0,360.0,175000.0,45.0,30%-<36%
C,Joint,1,135000.0,369.0,295000.0,74.0,40
C,Male,1,165000.0,360.0,165000.0,75.0,42
NC,Joint,1,705000.0,360.0,1205000.0,192.0,48
C,Joint,1,365000.0,360.0,565000.0,125.0,30%-<36%
C,Male,1,445000.0,360.0,555000.0,75.0,>60%
C,Joint,1,345000.0,180.0,435000.0,108.0,36
C,Joint,1,155000.0,360.0,165000.0,93.0,20%-<30%
C,Joint,1,255000.0,360.0,435000.0,67.0,46
NC,Male,1,625000.0,360.0,825000.0,231.0,42
C,Male,1,185000.0,360.0,195000.0,104.0,44
C,Joint,1,85000.0,120.0,205000.0,96.0,39
C,Joint,1,125000.0,360.0,125000.0,49.0,40
C,Male,1,455000.0,180.0,475000.0,200.0,37
C,Male,1,135000.0,360.0,145000.0,69.0,30%-<36%
C,Joint,1,285000.0,360.0,295000.0,135.0,48
C,Joint,1,435000.0,360.0,685000.0,187.0,30%-<36%
C,Male,1,255000.0,360.0,535000.0,121.0,20%-<30%
C,Joint,1,185000.0,360.0,225000.0,180.0,20%-<30%
C,Joint,1,205000.0,360.0,285000.0,48.0,36
C,Male,1,155000.0,360.0,165000.0,77.0,47
C,Male,1,265000.0,360.0,275000.0,91.0,20%-<30%
C,Male,1,215000.0,360.0,235000.0,56.0,42
C,Joint,1,485000.0,360.0,605000.0,198.0,20%-<30%
C,Sex Not Available,1,315000.0,360.0,325000.0,87.0,43
C,Male,1,115000.0,360.0,115000.0,51.0,40
C,Joint,1,225000.0,360.0,255000.0,86.0,30%-<36%
C,Joint,1,185000.0,360.0,235000.0,100.0,20%-<30%
C,Male,1,335000.0,360.0,655000.0,62.0,50%-60%
C,Female,1,345000.0,360.0,365000.0,80.0,48
C,Male,1,165000.0,360.0,175000.0,44.0,30%-<36%
C,Male,1,165000.0,360.0,205000.0,83.0,20%-<30%
C,Joint,1,185000.0,360.0,355000.0,62.0,45
C,Joint,1,185000.0,360.0,235000.0,188.0,20%-<30%
C,Joint,1,405000.0,360.0,435000.0,151.0,20%-<30%
C,Joint,1,275000.0,360.0,345000.0,106.0,20%-<30%
C,Female,1,35000.0,276.0,45000.0,24.0,30%-<36%
C,Joint,1,205000.0,360.0,225000.0,73.0,48
C,Joint,1,355000.0,360.0,475000.0,85.0,47
C,Male,1,415000.0,360.0,495000.0,120.0,45
C,Joint,1,155000.0,180.0,475000.0,102.0,20%-<30%
C,Joint,1,455000.0,360.0,485000.0,116.0,44
NC,Joint,1,1095000.0,360.0,1365000.0,285.0,41
NC,Joint,1,755000.0,360.0,1225000.0,200.0,30%-<36%
C,Joint,1,245000.0,360.0,305000.0,176.0,20%-<30%
C,Joint,1,225000.0,360.0,285000.0,210.0,<20%
C,Male,1,265000.0,360.0,265000.0,96.0,30%-<36%
NC,Female,1,755000.0,360.0,755000.0,190.0,41
C,Sex Not Available,1,265000.0,360.0,325000.0,90.0,20%-<30%
C,Joint,1,385000.0,360.0,655000.0,277.0,30%-<36%
C,Male,1,215000.0,360.0,265000.0,65.0,47
C,Joint,1,235000.0,360.0,265000.0,61.0,20%-<30%
C,Joint,1,225000.0,360.0,285000.0,89.0,40
C,Joint,1,125000.0,360.0,165000.0,41.0,20%-<30%
C,Joint,1,475000.0,360.0,735000.0,119.0,39
C,Male,1,125000.0,360.0,135000.0,33.0,44
C,Sex Not Available,1,555000.0,360.0,585000.0,126.0,40
C,Joint,1,355000.0,360.0,375000.0,177.0,30%-<36%
C,Female,1,625000.0,360.0,655000.0,119.0,43
C,Female,1,245000.0,360.0,255000.0,50.0,43
C,Male,1,145000.0,360.0,195000.0,25.0,45
C,Sex Not Available,1,135000.0,360.0,135000.0,4.0,30%-<36%
C,Female,1,255000.0,360.0,255000.0,66.0,49
C,Joint,1,95000.0,360.0,115000.0,54.0,42
C,Male,1,265000.0,360.0,325000.0,50.0,42
C,Female,1,85000.0,360.0,85000.0,43.0,20%-<30%
C,Joint,1,345000.0,360.0,485000.0,72.0,43
C,Male,1,215000.0,360.0,215000.0,69.0,41
C,Male,1,155000.0,360.0,205000.0,42.0,20%-<30%
C,Joint,1,345000.0,360.0,465000.0,68.0,50%-60%
C,Female,1,135000.0,360.0,165000.0,41.0,20%-<30%
C,Female,1,175000.0,360.0,175000.0,54.0,36
C,Male,1,305000.0,360.0,375000.0,96.0,30%-<36%
C,Joint,1,95000.0,360.0,135000.0,26.0,37
C,Female,1,405000.0,360.0,895000.0,83.0,46
NC,Joint,1,565000.0,360.0,635000.0,200.0,30%-<36%
C,Joint,1,155000.0,372.0,285000.0,101.0,20%-<30%
C,Joint,1,155000.0,360.0,215000.0,81.0,30%-<36%
C,Female,1,125000.0,360.0,155000.0,65.0,20%-<30%
C,Male,1,435000.0,360.0,455000.0,103.0,48
C,Joint,1,205000.0,360.0,245000.0,53.0,30%-<36%
C,Joint,1,125000.0,360.0,135000.0,33.0,44
C,Joint,1,185000.0,360.0,235000.0,146.0,30%-<36%
C,Male,1,215000.0,360.0,215000.0,45.0,41
C,Sex Not Available,1,265000.0,360.0,335000.0,60.0,50%-60%
C,Male,1,175000.0,360.0,215000.0,50.0,40
C,Male,1,75000.0,360.0,75000.0,54.0,30%-<36%
C,Joint,1,165000.0,360.0,215000.0,43.0,30%-<36%
C,Male,1,345000.0,360.0,685000.0,74.0,47
C,Joint,1,215000.0,360.0,255000.0,140.0,20%-<30%
C,Female,1,95000.0,360.0,155000.0,27.0,30%-<36%
C,Female,1,55000.0,180.0,155000.0,45.0,40
C,Joint,1,215000.0,360.0,285000.0,112.0,39
C,Male,1,495000.0,360.0,545000.0,119.0,36
C,Joint,1,245000.0,360.0,305000.0,51.0,49
C,Joint,1,285000.0,360.0,295000.0,78.0,37
C,Male,1,35000.0,240.0,45000.0,35.0,20%-<30%
C,Sex Not Available,1,265000.0,360.0,275000.0,84.0,43
C,Joint,1,205000.0,360.0,235000.0,93.0,30%-<36%
C,Male,1,455000.0,360.0,955000.0,595.0,<20%
C,Female,1,185000.0,360.0,205000.0,84.0,39
C,Joint,1,205000.0,360.0,265000.0,286.0,<20%
C,Male,1,375000.0,360.0,425000.0,82.0,42
C,Female,1,55000.0,360.0,185000.0,23.0,45
C,Joint,1,115000.0,360.0,175000.0,59.0,30%-<36%
C,Joint,1,305000.0,360.0,375000.0,60.0,49
C,Joint,1,675000.0,180.0,955000.0,268.0,38
C,Female,1,95000.0,360.0,115000.0,44.0,30%-<36%
C,Male,1,415000.0,360.0,525000.0,123.0,43
C,Male,1,145000.0,360.0,145000.0,53.0,41
C,Male,1,155000.0,360.0,155000.0,56.0,48
C,Joint,1,115000.0,180.0,235000.0,223.0,<20%
C,Joint,1,225000.0,360.0,355000.0,151049.0,30%-<36%
C,Joint,1,585000.0,372.0,725000.0,158.0,42
NC,Sex Not Available,1,845000.0,360.0,1055000.0,144.0,44
C,Joint,1,515000.0,360.0,545000.0,174.0,41
C,Joint,1,145000.0,240.0,145000.0,91.0,<20%
C,Female,1,125000.0,360.0,135000.0,46.0,49
C,Female,1,325000.0,360.0,465000.0,115.0,47
C,Joint,1,155000.0,360.0,185000.0,121.0,<20%
C,Male,1,125000.0,360.0,295000.0,42.0,37
C,Sex Not Available,1,385000.0,360.0,405000.0,129.0,47
C,Male,1,185000.0,360.0,215000.0,43.0,38
C,Joint,1,185000.0,360.0,255000.0,106.0,30%-<36%
C,Sex Not Available,1,455000.0,360.0,575000.0,100.0,37
C,Female,1,115000.0,360.0,145000.0,53.0,41
C,Joint,1,135000.0,360.0,135000.0,54.0,36
C,Joint,1,225000.0,360.0,275000.0,75.0,41
C,Female,1,215000.0,360.0,265000.0,129.0,41
C,Joint,1,565000.0,360.0,705000.0,210.0,30%-<36%
C,Male,1,175000.0,360.0,225000.0,50.0,39
C,Male,1,315000.0,360.0,365000.0,107.0,20%-<30%
C,Male,1,135000.0,360.0,155000.0,79.0,20%-<30%
C,Joint,1,205000.0,360.0,225000.0,145.0,<20%
C,Male,1,245000.0,360.0,255000.0,48.0,43
C,Female,1,385000.0,360.0,545000.0,140.0,38
C,Female,1,85000.0,360.0,125000.0,45.0,30%-<36%
C,Joint,1,155000.0,366.0,185000.0,56.0,45
C,Male,1,225000.0,360.0,245000.0,53.0,30%-<36%
C,Female,1,135000.0,360.0,145000.0,31.0,43
C,Male,1,165000.0,360.0,175000.0,121.0,43
C,Male,1,195000.0,360.0,195000.0,63.0,30%-<36%
C,Male,1,55000.0,360.0,55000.0,29.0,30%-<36%
C,Male,1,105000.0,240.0,115000.0,94.0,38
NC,Sex Not Available,1,905000.0,360.0,1135000.0,253.0,40
C,Male,1,135000.0,360.0,145000.0,60.0,40
C,Female,1,345000.0,360.0,375000.0,70.0,45
C,Male,1,185000.0,360.0,195000.0,49.0,39
C,Joint,1,335000.0,360.0,425000.0,156.0,38
C,Female,1,185000.0,360.0,485000.0,55.0,42
C,Female,1,105000.0,360.0,135000.0,63.0,<20%
C,Male,1,305000.0,360.0,335000.0,72.0,47
C,Male,1,225000.0,360.0,255000.0,65.0,48
C,Female,1,405000.0,360.0,645000.0,114.0,43
C,Male,1,675000.0,360.0,945000.0,127.0,47
C,Joint,1,345000.0,360.0,435000.0,160.0,40
C,Male,1,655000.0,360.0,725000.0,300.0,20%-<30%
C,Female,1,145000.0,360.0,175000.0,48.0,48
C,Joint,1,255000.0,360.0,265000.0,78.0,30%-<36%
C,Male,1,155000.0,360.0,205000.0,38.0,46
C,Joint,1,235000.0,240.0,245000.0,147.0,48
C,Joint,1,255000.0,360.0,335000.0,237.0,30%-<36%
C,Joint,1,305000.0,372.0,375000.0,87.0,41
C,Joint,1,205000.0,360.0,265000.0,71.0,20%-<30%
C,Joint,1,235000.0,360.0,235000.0,109.0,30%-<36%
C,Male,1,305000.0,360.0,385000.0,208.0,<20%
NC,Joint,1,795000.0,360.0,795000.0,488.0,30%-<36%
C,Female,1,365000.0,360.0,385000.0,117.0,39
C,Joint,1,355000.0,360.0,435000.0,143.0,44
C,Male,1,415000.0,360.0,495000.0,87.0,49
C,Male,1,75000.0,360.0,135000.0,44.0,20%-<30%
C,Male,1,285000.0,360.0,295000.0,65.0,48
C,Sex Not Available,1,305000.0,360.0,385000.0,278.0,20%-<30%
C,Joint,1,115000.0,360.0,125000.0,56.0,48
C,Male,1,455000.0,360.0,685000.0,130.0,47
C,Male,1,345000.0,240.0,435000.0,127.0,30%-<36%
C,Male,1,75000.0,360.0,85000.0,23.0,49
C,Joint,1,265000.0,360.0,285000.0,90.0,37
C,Male,1,115000.0,360.0,145000.0,21.0,40
C,Female,1,295000.0,360.0,375000.0,83.0,39
C,Male,1,335000.0,360.0,365000.0,75.0,37
C,Joint,1,275000.0,360.0,285000.0,67.0,42
C,Male,1,415000.0,360.0,445000.0,109.0,44
C,Joint,1,285000.0,360.0,415000.0,131.0,20%-<30%
C,Joint,1,335000.0,360.0,585000.0,152.0,49
C,Joint,1,225000.0,360.0,525000.0,97.0,39
C,Male,1,205000.0,240.0,255000.0,135.0,30%-<36%
C,Joint,1,285000.0,360.0,365000.0,93.0,30%-<36%
C,Female,1,135000.0,360.0,165000.0,70.0,<20%
NC,Joint,1,665000.0,360.0,825000.0,173.0,38
C,Joint,1,245000.0,360.0,255000.0,71.0,43
C,Joint,1,295000.0,360.0,305000.0,72.0,44
C,Female,1,35000.0,276.0,35000.0,31.0,20%-<30%
C,Male,1,365000.0,360.0,405000.0,85.0,48
C,Male,1,425000.0,360.0,465000.0,111.0,36
C,Female,1,195000.0,360.0,215000.0,43.0,37
C,Sex Not Available,1,625000.0,360.0,695000.0,273.0,39
C,Male,1,275000.0,360.0,285000.0,48.0,48
C,Joint,1,395000.0,360.0,405000.0,178.0,20%-<30%
C,Female,1,105000.0,360.0,135000.0,32.0,20%-<30%
C,Female,1,225000.0,360.0,255000.0,80.0,46
C,Joint,1,205000.0,360.0,225000.0,141.0,42
C,Joint,1,75000.0,360.0,85000.0,46.0,36
C,Sex Not Available,1,565000.0,360.0,865000.0,181.0,20%-<30%
C,Male,1,315000.0,360.0,415000.0,120.0,20%-<30%
NC,Male,1,765000.0,360.0,955000.0,266.0,38
NC,Joint,1,505000.0,360.0,705000.0,163.0,20%-<30%
C,Joint,1,325000.0,360.0,475000.0,183.0,20%-<30%
C,Sex Not Available,1,225000.0,360.0,235000.0,55.0,43
C,Male,1,125000.0,360.0,185000.0,41.0,20%-<30%
C,Sex Not Available,1,495000.0,360.0,625000.0,460.0,20%-<30%
C,Male,1,175000.0,360.0,175000.0,116.0,20%-<30%
C,Joint,1,275000.0,360.0,285000.0,74.0,44
C,Male,1,125000.0,360.0,135000.0,61.0,20%-<30%
C,Joint,1,295000.0,360.0,375000.0,66.0,49
C,Joint,1,85000.0,240.0,285000.0,72.0,<20%
C,Joint,1,305000.0,360.0,365000.0,87.0,38
C,Joint,1,335000.0,360.0,365000.0,89.0,36
C,Male,1,195000.0,360.0,205000.0,47.0,47
C,Female,1,185000.0,360.0,195000.0,58.0,40
C,Joint,1,195000.0,360.0,265000.0,66.0,41
C,Joint,1,445000.0,180.0,595000.0,150.0,39
C,Male,1,335000.0,360.0,355000.0,111.0,47
C,Male,1,245000.0,360.0,275000.0,54.0,30%-<36%
C,Joint,1,315000.0,360.0,515000.0,103.0,38
C,Female,1,135000.0,360.0,145000.0,52.0,39
C,Male,1,515000.0,360.0,645000.0,142.0,46
NC,Joint,1,1315000.0,360.0,2305000.0,327.0,39
C,Joint,1,455000.0,360.0,755000.0,242.0,30%-<36%
C,Male,1,175000.0,360.0,215000.0,89.0,45
C,Male,1,205000.0,360.0,205000.0,73.0,44
C,Male,1,55000.0,360.0,55000.0,36.0,30%-<36%
C,Sex Not Available,1,275000.0,360.0,345000.0,112.0,30%-<36%
C,Joint,1,285000.0,360.0,365000.0,107.0,49
C,Male,1,225000.0,360.0,235000.0,66.0,36
C,Female,1,95000.0,360.0,105000.0,37.0,40
C,Joint,1,235000.0,360.0,465000.0,66.0,37
C,Joint,1,325000.0,180.0,405000.0,206.0,20%-<30%
C,Joint,1,235000.0,360.0,245000.0,99.0,20%-<30%
C,Female,1,105000.0,360.0,185000.0,28.0,49
C,Male,1,135000.0,360.0,135000.0,39.0,44
C,Sex Not Available,1,235000.0,360.0,235000.0,95.0,36
C,Joint,1,365000.0,360.0,455000.0,283.0,20%-<30%
C,Joint,1,65000.0,360.0,85000.0,25.0,20%-<30%
C,Male,1,225000.0,360.0,305000.0,77.0,30%-<36%
C,Male,1,375000.0,360.0,465000.0,100.0,37
C,Joint,1,255000.0,360.0,275000.0,96.0,38
C,Female,1,55000.0,276.0,55000.0,23.0,39
C,Male,1,85000.0,360.0,115000.0,32.0,46
NC,Joint,1,1545000.0,360.0,1925000.0,696.0,20%-<30%
C,Male,1,415000.0,360.0,525000.0,113.0,43
C,Joint,1,125000.0,360.0,135000.0,73.0,40
NC,Joint,1,1215000.0,360.0,1605000.0,993.0,37
C,Female,1,155000.0,360.0,185000.0,65.0,20%-<30%
C,Joint,1,455000.0,360.0,495000.0,0.0,44
C,Female,1,105000.0,360.0,125000.0,23.0,36
C,Joint,1,185000.0,370.0,285000.0,100.0,37
C,Female,1,395000.0,360.0,485000.0,90.0,43
C,Sex Not Available,1,625000.0,360.0,835000.0,290.0,20%-<30%
C,Joint,1,235000.0,360.0,265000.0,44.0,49
C,Male,1,85000.0,240.0,95000.0,70.0,20%-<30%
C,Female,1,185000.0,360.0,205000.0,45.0,43
C,Joint,1,325000.0,360.0,345000.0,102.0,30%-<36%
C,Joint,1,245000.0,360.0,275000.0,81.0,38
C,Joint,1,135000.0,240.0,155000.0,39.0,41
C,Female,1,385000.0,360.0,475000.0,232.0,38
C,Male,1,45000.0,360.0,55000.0,54.0,20%-<30%
C,Sex Not Available,1,145000.0,360.0,185000.0,50.0,36
C,Male,1,85000.0,360.0,115000.0,42.0,49
C,Joint,1,105000.0,360.0,135000.0,62.0,41
C,Joint,1,555000.0,360.0,695000.0,106.0,47
C,Male,1,155000.0,360.0,185000.0,101.0,30%-<36%
C,Male,1,435000.0,360.0,535000.0,175.0,20%-<30%
C,Joint,1,125000.0,360.0,135000.0,51.0,30%-<36%
C,Joint,1,145000.0,360.0,185000.0,152.0,40
C,Female,1,75000.0,360.0,165000.0,28.0,40
C,Joint,1,485000.0,360.0,585000.0,99.0,40
C,Male,1,225000.0,360.0,235000.0,112.0,49
C,Joint,1,205000.0,360.0,265000.0,191.0,44
C,Sex Not Available,1,375000.0,360.0,475000.0,203.0,20%-<30%
C,Sex Not Available,1,235000.0,360.0,275000.0,94.0,46
C,Joint,1,165000.0,180.0,205000.0,64.0,20%-<30%
C,Female,1,225000.0,360.0,235000.0,39.0,44
C,Joint,1,295000.0,360.0,335000.0,88.0,39
C,Joint,1,215000.0,360.0,335000.0,113.0,20%-<30%
C,Male,1,225000.0,360.0,285000.0,81.0,20%-<30%
C,Male,1,205000.0,360.0,215000.0,52.0,44
C,Female,1,185000.0,360.0,235000.0,52.0,41
C,Joint,1,205000.0,360.0,265000.0,104.0,<20%
C,Male,1,185000.0,360.0,195000.0,80.0,37
C,Joint,1,175000.0,360.0,185000.0,41.0,38
C,Joint,1,305000.0,360.0,385000.0,56.0,48
C,Joint,1,455000.0,360.0,755000.0,138.0,40
C,Joint,1,215000.0,360.0,365000.0,139.0,<20%
C,Joint,1,415000.0,360.0,515000.0,72.0,45
C,Joint,1,135000.0,360.0,145000.0,136.0,30%-<36%
C,Joint,1,355000.0,360.0,755000.0,208.0,37
C,Male,1,155000.0,360.0,275000.0,47.0,47
C,Joint,1,365000.0,360.0,385000.0,145.0,30%-<36%
C,Male,1,315000.0,360.0,355000.0,114.0,41
C,Female,1,175000.0,360.0,175000.0,45.0,37
C,Joint,1,75000.0,360.0,75000.0,34.0,45
C,Joint,1,395000.0,360.0,415000.0,167.0,30%-<36%
C,Joint,1,285000.0,360.0,365000.0,125.0,20%-<30%
C,Joint,1,195000.0,360.0,245000.0,75.0,30%-<36%
C,Female,1,145000.0,360.0,165000.0,62.0,20%-<30%
C,Joint,1,245000.0,360.0,265000.0,118.0,30%-<36%
C,Female,1,195000.0,240.0,205000.0,125.0,20%-<30%
C,Male,1,335000.0,360.0,355000.0,82.0,48
C,Male,1,155000.0,360.0,345000.0,99.0,<20%
C,Male,1,175000.0,360.0,185000.0,72.0,30%-<36%
C,Male,1,45000.0,360.0,55000.0,52.0,<20%
C,Female,1,25000.0,180.0,55000.0,100.0,<20%
C,Female,1,235000.0,360.0,565000.0,199.0,<20%
NC,Joint,1,1005000.0,372.0,3255000.0,115.0,>60%
C,Joint,1,195000.0,360.0,215000.0,79.0,20%-<30%
C,Joint,1,245000.0,360.0,255000.0,93.0,20%-<30%
C,Female,1,225000.0,360.0,285000.0,79.0,30%-<36%
NC,Male,1,585000.0,360.0,725000.0,274.0,20%-<30%
C,Female,1,265000.0,360.0,295000.0,127.0,20%-<30%
C,Male,1,235000.0,360.0,245000.0,83.0,37
C,Male,1,245000.0,360.0,275000.0,50.0,44
C,Sex Not Available,1,495000.0,360.0,515000.0,129.0,39
C,Male,1,305000.0,360.0,335000.0,73.0,38
C,Joint,1,455000.0,360.0,575000.0,143.0,44
